movie_id,title,text
19995,Avatar,"2009in the 22nd centuri a parapleg marin is dispatch to the moon pandora on a uniqu mission but becom torn between follow order and protect an alien civilization.act adventur fantasi sciencefictioncultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3dsamworthington zoesaldana sigourneyweav stephenlang michellerodriguez giovanniribisi joeldavidmoor cchpounder wesstudi lazalonso dileeprao mattgerald seananthonymoran jasonwhyt scottlawr kellykilgour jamespatrickpitt seanpatrickmurphi peterdillon kevindorman kelsonhenderson davidvanhorn jacobtomuri michaelblain-rozgay joncurri lukehawk woodyschultz petermensah soniaye jahnelcurfman ilramchoi kylawarren lisaroumain debrawilson chrismala taylorkibbi jodielandau julielamm cullenb.madden josephbradymadden frankietorr austinwilson sarawilson tamicawashington-mil lucybri nathanmeist gerryblair matthewchamberlain paulyat wraywilson jamesgaylyn melvinlenoclarkiii carvonfutrel brandonjelk micahmoch hanniyahmuhammad christophernolen christaoliv aprilmariethoma bravitaa.threatt colinbleasdal mikebodnar mattclayton nicoledionn jamieharrison allanhenri anthonyingrub ashleyjefferi deanknowsley josephmika-hunt terrynotari kaipantano loganpithy stuartpollock raja garethruck rhiansheehan t.j.storm jodietaylor aliciavela-bailey richardwhitesid nikiezambo julenereneestephene.rivkin rickcart christopherboy christopherboy malifinn jameshorn jamescameron jamescameron jamescameron jamescameron jamescameron andrewmenzi jillbrook margerysimkin kevinishioka dickbernstein shannonmil denniethorp janav deborahlynnscott jonlandau seanhaworth kimsinclair kimsinclair richardf.may laetakalogridi mayesc.rubeo maurofior scottherbertson woodyschultz lindadevetta lindadevetta richardbluck simonbright richardmartin stever.moor johnrefoua karlj.martin chilinglin ilramchoi stevenqual carlamey nickbassett jillcormack andymclaren terrynotari garrettwarren jonathanrothbart stefandech toddcherniawski mirandariv robertstromberg johnhard robertodeang mikesmithson alainlalann lucassalton janacetashjian stephenrosenbaum frankiekarena lisalovaa jonathanfawkn robertbavin anthonyalmaraz carolynm.fenton bethkoenigsberg sampag texkadonaga kimfoscato tammys.le dennycaira jameswaitku addisonteagu c.scottbak lukecaska davidchow jonathandy josephhiura rebeccajelli robertandrewjohnson mikestassi johnvillarino jeffreywisniewski cherylnardi marshallwinn gwendolynyateswhittl williamstein lulawashington chrisdelcont r.christopherwhit danlemmon timnielsen michaelmulholland thomasnittmann edsonwilliam christinecarr johnbruno davidemmerich christopherscarabosio jennifertev brigitteyork kenfisch iainhutton steveingram joycecox jennyfost christophermarino jimmilton cyndioch lucasputnam ""anthonymaxivins"" johnknol ericsaindon waynest davidstinnett guywilliam stuartthorp gilescoburn markfellman scottspragu jeremyhollobon orlandomeuni taisuketanimura liliamishelacevedo alejandrom.hernandez marvinhal judyalley mikeperri andrewmorley sethengstrom ericoliv matsunesuzuki paultobin roxanegriffin arunram-mohan georgialockhart-adam thrainshadbolt bradalexand shadialmassizadeh simonclutterbuck graemedemmock adrianfernand mitchgat jerrykung andyloma sebastianmarino matthiasmenz sergeinevshupov philipperebour michaeltakarangi davidweitzberg benwhit minwindleent the world of pandora.avatar"
285,Pirates of the Caribbean: At World's End,"2007captain barbossa long believ to be dead ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems.adventur fantasi actionocean drugabus exoticisland eastindiatradingcompani ""loveofoneslife"" traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditsstingerjohnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat billnighi geoffreyrush jackdavenport kevinmcn tomholland naomieharri jonathanpryc keithrichard leearenberg mackenziecrook gregelli davidbaili martinklebba davidschofield laurenmah vanessabranch angusbarnett gilesnew reggiele dominicscottkay takayofisch davidmeuni ho-kwants andybeckwith peterdonaldbadalamentiii christophers.capp keithrichard hakeemkae-kazim ghassanmassouddariuszwolski goreverbinski jerrybruckheim tedelliott terryrossio stephene.rivkin craigwood hanszimm mikestenson ericmcleod chadoman peterkohn patsandston denisechamian rickheinrich johndext priscillajohn cherylcarasik lizdann pennyros bobbadami jameswardbyrkit veneil johndixon dottiestarl pamelaalch allenhal melissamuik sharronreynold barbaramcdermott karengolden katiegreathouseat the end of the world the adventur begins.pir of the caribbean: At world end"
206647,Spectre,"2015a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while M battl polit forc to keep the secret servic aliv bond peel back the layer of deceit to reveal the terribl truth behind spectre.act adventur crimespi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdomdanielcraig christophwaltz léaseydoux ralphfienn monicabellucci benwhishaw naomieharri davebautista andrewscott rorykinnear jesperchristensen alessandrocremona stephaniesigman tenochhuerta adrianapaz domenicofortunato marcozingaro stefanoelfidiclaudia ianbonar tamwilliam richardbanham pipcart simonlenagan alessandrobressanello marczinga brigittemillar adelbencherif gediminasadoma peppelanzetta francescoarca matteotaranto emilioaniba benitosagredo daitabuchi georgelasha sargonyelda andycheung erickhayden olegmirochnikov antoniosalin miloudmouradbenamara gidoschimanski nigelbarb patricenaiambana stephanecornicard garyfannin sadaoueda philliplaw waiwong josephbalderrama eijimihara junichikajioka victorschefé haraldwindisch tristanmatthia detlefboth bodofrieseck wilhemiben noemikrausz noahsaavedra francisattakpah michaelglantschnig marlonboess mariewohlmuth lilieppli konstantingerlach laraparmiani umitulgen amramallassi ziadabaza walidmumuni derekhorsham nariblair-mangat michaelwhit adammcgradi naderdernaika pezhmaanalinia judidench nevegachev karlfarr kimadi maurisaselenecoleman matijamondimatovićthomasnewman sammend annapinnock johnlogan johnlogan dennisgassn ianflem leesmith billbernstein danielcraig janytemim debbiemcwilliam barbarabroccoli robertomalerba peterclark christopherassel perhallberg nicoleschmi nicoleschmi robertwad robertwad nealpurvi nealpurvi callummcdougal jezbutterworth chrislow roxanaalexandru jogrov stéphanefoenkino lorenzosenator wolfgangramml j.a.c.redford greggwilson michaelg.wilson zakariaalaoui hoytevanhoytema francoragusa peterfield nealcallow markharri billya.campbel stacyperski lauraschultz maripazrobl gerardoperezarreola kenjikatori bencollin tusseland donaldmowat kencrouch andrewbennett seanmcgrath ""danoconnell"" markcurti greggrudloff jayne-anntenggren jayne-anntenggren scottmillan nicolettamani johnt.cucci sebastianmeuschel julianmorson petermichaelsullivan kendailey annscibelli clivejackson susiejon jasinboland jenniferlewicki ianwhiteford kiloupicard hansbjerno danielsaxlid alexrous anikseguin michellepaz lucasbielan karenbakerland peterstaubl johnmarzano adamdal emmamccleav naomidonn susanhoward davidsmith joelgreen laurenthugueniot timkeen zoetahir conorbyrn charlottehayward catherinemullan crystalhadcroft francescacrowd marlenechazot struanfarquhar danielpastor jonathanolley samigaidi lucamarcoparacel lucavannella stuartbullen russelledward stefanodenardi luisdavidsansan abderrahimbenkhayi rachidaadassi carlosdecarvalho viviennejon kimhoneyman kathrynfa paulduff benwilkinson lynnecorbould amalel-farfachi celebritybook lucyhelli richarddavi andojohnson gregcork aminrharda jossskottow josephkoniak thalíaechevest charliehounslow lucyfriend yelskalabrada anagabrielaquinonez ginadeferr lydiafri liamgeorgensen hughmcclelland johnallen eddiemurphi carlos-christiannickel chrispett hughbrompton jillianbrook gerainthixson shawnsmolenski toddwhalen alysiawildman samgirdl samanthadark tygibson jamesmann leslielerman stevenbegg zavejackson jonathanknight alexwuttk markbakowski paulround stefanomarino hanzkawsona plan No one escapesspectr"
49026,The Dark Knight Rises,"2012follow the death of district attorney harvey dent batman assum respons for ""dents"" crime to protect the late ""attorneys"" reput and is subsequ hunt by the gotham citi polic department. eight year later batman encount the mysteri selina kyle and the villain bane a new terrorist leader who overwhelm ""gothams"" finest. the dark knight resurfac to protect a citi that ha brand him an enemy.act crime drama thrillerdccom crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batmanchristianbal michaelcain garyoldman annehathaway tomhardi marioncotillard josephgordon-levitt morganfreeman cillianmurphi junotempl liamneeson matthewmodin alonaboutboul benmendelsohn nestorcarbonel joshpenc tomconti joeyk warrenbrown danielsunjata samkennard aliashtepina nickjulian mirandanolan clairejulien aidangillen burngorman brettcullen reggiele josephlyletaylor chriselli duanehenri jamesharveyward gonzalomenendez cameronjack lexdaniel tylerdeanflor thomaslennon trevorwhit robbrown fredriclehn courtneymunch chrishil travisguba jaybenedict willest daviddayanfish glenpowel russfega andresperez-molina brentbrisco johnnolan olivercotton markkilleen sarahgoldberg johnmacmillan robertwisdom ronniegeneblevin johnhollingworth ianbohen urigavriel noelgugliemi hectoratreyuruiz patrickcox aramisknight joshstewart williamdevan davidgyasi patrickjordan joshuaelijahrees desmondharrington mychaelb tomasarana peterholden davidmonahan jillianarmenant ajaevan aldousdavidson wadewilliam jakecanuso massifurlan christopherjudg patrickleahi toddgearhart marcabbink isiahadam charliealejandro robertarensen grantbabbitt fileenabahri rickboland kylepatrickbrennan scottchurchson billcowh grahamcurri stephaniedominiehlert johnfarr frankfata christopherbryangomez vitograssi michaelwrengucciardo samharri edheavey johnw.iwanonkiw cindyjackson danieljordano williamkania tiffanykemp sunjaekim hrvojeklecz alexkruz tylerlamarr lejon pauljudeleterski joelipari silvialombardo jorgemardel calemcconnel daviddalemccu tiffanysandermckenzi allenmerritt olanmontgomeri alexmoor shanenolan jacksonnunn ""josephobrien"" michaelpapajohn salomonpassariello kyledavidpierc troypolamalu michaelpow jamesrawl kirstenroet benroethlisberg markroman anthonyj.sacco ericsalazar emilyschooley thomastul chrisvaina vincentvanommen michellevezzani barbaravinc justinmichaelwood jasonye mariazambrana johnzion alexziwak tommybayioko matthewgooley jeffmoffitt markfalvo diogohausen garysiev orionmccab londonmay jamesquinn danielnewmanhanszimm charlesroven christophernolan christophernolan christophernolan christophernolan jonathannolan emmathoma wallypfist wallypfist johnpapsidera davids.goy bobkan leesmith michaeluslan benjaminmelnik jimpalm karenblynd lindyhem pakismith robertwoodruff nathancrowley kevinkavanaugh naamanmarshal timothyheali ""brianbuzzbuzzelli"" r.j.kizer thomastul leesheward declanmulvey geraldsullivan zackgrobl kevinkaska rickaveri kevindelanoy jordangoldberg karlmcmillan mayleung philippevonlanthen garyrizzo dougcoleman anthonymolinari christopherplac barbaraharri ""carrickoquinn"" brucefowl royt.anderson deanwolcott tobywhal jimwilkey jameshambidg aaronvexl carmiamarshal hugoweng adamhorton raymondmamrak johnroesch mikechamb emmanuelpappa stephenw.schriv lindamatthew luisaabel suewhitak samanthamacivor jaredburk lauradown rebeccalevin raysiegl richardk richardk bryano.watkin bradleyport cuitlahuacmoralesvelazquez scottr.fish gregbaldi p.scottsakamoto dennycaira trampasthompson stevegehrk derrickmitchel michaelw.mitchel joeondrejko kenj.johnson loriharri franciebrown trevorhabberstad amandapettett hanarausalova tomstil jeffbrink paulajack alisonevan amandajenkin jennele theodoresharp alysondeemoor ianwhiteford hansbjerno mustaphamimi bruceleegross ronphillip alejandrom.hernandez kathleens.dunn matthewreedi robertocraciunica candiced.campo stevekost petebebb natashaladek chrisbertholf jaywejeb williamgideon joelgreen dianachoi claudiakalindjian tobybritton jonathankevinong janicealexand patriciadehaney deenaadair andregilbert michaelmurray thomashayslip mikasaito pippane laurapliskin annabregman robertw.joseph barrywilkinson glenpangion mychaelb brandona.plonka elizabethtomasetti seanginevan jasonkolowski michaelbabcock michaelbabcock randleakerson jeffsawy carlossoli nickdacey claudiadehmel reubenlloyd-pack stevemil christopherpayn julianfoddi paulj.franklin nicolahoyl andrewlockley alisonwortman maxxwaiinleong syholland ryanrodriguez reubengarrett danebjerno ianfranklin andrewmcevoy brendanhandscomb lindsaykouri davidbutl erica.lewi ryanrubin garybirmingham tylerw.gaisford marksomn joaquindiegoprang vanspradeepsinghrathor jamesa.mahathey jonathanhook stephaniehovett briansmyj donaldlikovich ianmclaughlin dixiewebst victorpaguia wadesullivan sidkarn sidkarn michaelj.pr tomprat r.corymccutcheon ""anneobrien"" rexreddick bobhal blakepik philipshanahan danbrown adamcamacho shaunsangkarat ajafrari markfichera patrickhogan robertwilson raymaxwel scottyrichard marcscizak joeguzman damianofusca chriscenatiempo joeyj.cookiii davidorr scottburik mikeburk shanegeraghti balintpinczehelyi kevinrog shawnnathibodeau carolinevexl kevinflynn markscoon nilootero davide.hal markaaronwagn edmcdermottii ""conorosullivan"" nakulkamt dileepsinghrathoreth legend endsth dark knight rise"
49529,John Carter,"2012john carter is a war-weari former militari captain ""whos"" inexplic transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. ""its"" a world on the brink of collaps and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands.act adventur sciencefictionbasedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3dtaylorkitsch lynncollin samanthamorton willemdafo thomashadenchurch markstrong ciaránhind dominicwest jamespurefoy bryancranston pollywalk darylsabara arkiereec davoodghadami pippanixon jamesembre philipphilmar emilytierney edmundkent nicholaswoodeson kyleagnew donstark joshdaugherti jaredcyr christophergoodman amandaclayton josephbillingiereandrewstanton andrewstanton johnlasset colinwilson gailsteven tomjohnson ericzumbrunnen michaelsilv juanperalta paulgooch pakismith edcatmul stevejob billcorso robertwoodruff nathancrowley michaelgiacchino danielmindel stephenm.davi johnk mayesc.rubeo naamanmarshal scottzub philharvey timsimonec veronicamcal edgarriceburrough marciaross petergabriel christientinsley hollydorff jimmorri lindseycollin michaelchabon janfost johnskotchdopol chrismunro peterchiang markandrew jonathannul colinjon veneil brittainyrobert jeremyturn deanwolcott markharri jameshambidg lorikorngiebel davidkrentz chriscorbould colleenkelsal bobroath darrelll.wight bryanandrew dennisliddiard kevinhaney joshlusbi jamiewilkinson rogerguyett dennycaira suerow tobyspigel marshallwinn michaelsemanick peterdorm perryevan anniepenn timnielsen timnielsen jennele theodoresharp josephhodg philippecarr-forst christopherprampin colinanderson colinanderson jennifertev kimay danielbarrow debbisalmon paulapric frankconnor j.r.grubb deborahrutherford donrutherford malcolmfif tobybritton kevinalexand kristiematthia geraldquist nuriambomio eamonnbutl laurajen ailbhelemass simonfinney erynkruegermekash traviswitkowski mikemekash kirstinchalm kacieseamon deborahtaylor ryanchurch camillehenderson tomstruth liamgeorgensen laviniawat gregt.moon richarddaldri stephenfinn tomcastronovo katherinemccormack stevehard erikjessen tommygormley sarahginn bendixon andrewm.ward staceynewton rachelcorbould jakehal gemmarichard sarariesel paulboyc mandygold candicebank garymachin noelespinosa meredithhumbracht garyhymn thomasgibson dantonburrough karinsilvestrilost in our world found in another.john carter"
559,Spider-Man 3,"2007the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organ hi alter ego peter parker deal with nemesi eddi brock and also get caught up in a love triangle.fantasi action adventuredualident amnesia sandstorm ""loveofoneslife"" forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero revengetobeymaguir kirstendunst jamesfranco thomashadenchurch tophergrac brycedallashoward rosemaryharri jamescromwel j.k.simmon theresarussel dylanbak billnunn elizabethbank tedraimi perlahaney-jardin willemdafo cliffrobertson elyabaskin mageinatovah michaelpapajohn joemanganiello stanle brucecampbel christopheryoung grantcurti danielgilli johnpaxton beckyannbak stevevalentin halfishman lucygordon toniwynn andreb.blak timmaculan marcvann joebay greggdaniel rogeliot.ramo timothypatrickquil kathrynbryd joevirzi bille.rog michaelalexand aprilparker-jon edwardpadilla robertcurtisbrown paulterrellclayton carolynneff christinacindrich sonyamaddox ""derrickphoenixthomas"" jessicollin michaelmclaughlin annegartlan emiliorivera keithwoulard reynaldogallego jimcoop deanedward margaretlaney aimeemil tanyabond markkubr tonybesson ramonadam a.j.adelman angelisalexandri dawnmarieanderson frankanello anyaavaeva davidbacku tiffanyl.bak marcc.cancassi sujeileecandel michaelciesla irinacosta johncrann crystalmariedenha amyv.dewhurst pauledney nataliefabri keithfausnaught amandaflorian briannaleannflorian tiffanyashleyflorian shaunpatrickflynn loganfri kevinfung tonygaltieri chuckgerena brianhopson claudejay juliejei andrewjamesjon nataliejon christopherjud brittanykral alyssalakota tialatrel lindale pierangelillina bernadettelord sandrinemarli lauramcdavid nataliemcneil danielmignault marthamillan michele-nanettemil claudiakatzminnick robertmy ""josephobrien"" jenoda anjeliapelay nickpoltoranin vanessareseland lariv briarobert luisrosa vanessaross brennaroth shaderup aricksalmea ericshackelford danielshaf abbeyskinn kristinsomo jenniferspark christopherstaduli jimmystar arnestarr liamston tajnatanov aijaterauda brigidturn evelynvaccaro nickvlassopoulo sincerelya.ward silqwebst graigf.weich fredrickweiss jenniferweston trentonwilley raywineteerfrancinemaisl josephm.caracciolojr. samraimi samraimi stanle stanle steveditko bobmurawski lauraziskin aviarad neilspisak jamesacheson alvinsarg kevinfeig billpop grantcurti ivanraimi christopheryoung kathydriscol j.michaelriva lesliea.pop katinalekerr denisl.stewart christopherburian-mohr davidf.klassen richardbaratta dawnswiderski suzanwexl merrickmorton katietaylor noellegreen kevincross trudyramirez ariccheng noellek merieweismillerwallac barbaramesney jeffmarkwith andreadopaso v.w.scheich theodoresharp pattestrong-lord earla.hibbert davidj.gr johndesimon brettphillip andrewsax johnfedynich willf.moor lavellebrown merryalderman nealnaito jeffreygafn ellengessert heebokle gregoutcaltth battl within.spider-man 3"
38757,Tangled,"2010when the ""kingdoms"" most wanted-and most charming-bandit flynn rider hide out in a mysteri tower ""hes"" taken hostag by rapunzel a beauti and feisti tower-bound teen with 70 feet of magic golden hair. ""flynns"" curiou captor ""whos"" look for her ticket out of the tower where ""shes"" been lock away for year strike a deal with the handsom thief and the unlik duo set off on an action-pack escapad complet with a super-cop hors an over-protect chameleon and a gruff gang of pub thugs.anim familyhostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekickzacharylevi mandymoor donnamurphi ronperlman m.c.gainey jeffreytambor bradgarrett paulf.tompkin richardkiel delaneyrosestein nathangreno byronhoward timmertensjohnlasset jacobgrimm wilhelmgrimm johnkahr douglasrog alanmenken alanmenken danfogelman royconli markkennedi dancoop timmerten kevinkliesch byronhoward deana.zupanc davide.fluhr nathangreno jamiesparerrobert glenkean glenkean glenkean brentw.hal chrismontan glennslat linodisalvo stevegoldberg claykayti tommacdougal ai-lingle laurentben-mimoun timpauer jasonw.jen cameronfrankley aimeescribn jamesfinn rickmoor merrickrustia billschwab dougwalk lorelaybov briankesing shiyoonkim danielhu lisakeen bérénicerobinson jenniferchristinevera joshstaub davidgoetz kentmelton doeriwelchgrein johnmurrah scottbeatti markhammel richarde.lehmann robertl.mil brianleach alessandrojacomini ernestj.petti chrisspringfield jinkim laurenairriess justincram gustafaspegren clairekean craigmullin scottwatanab victoriay coryroccoflorimont allenblaisdel robdressel toddallenerickson terrymoew christopherk.poplin wallyschaab richardturn davidwainstain brentburley brendanduncan markmitchelltheyr take adventur to new lengths.tangl"
99861,Avengers: Age of Ultron,"2015when toni stark tri to jumpstart a dormant peacekeep program thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. As the villain ultron emerg it is up to the aveng to stop him from enact hi terribl plan and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure.act adventur sciencefictionmarvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3drobertdowneyjr. chrishemsworth markruffalo chrisevan scarlettjohansson jeremyrenn jamesspad samuell.jackson doncheadl aarontaylor-johnson elizabetholsen paulbettani cobiesmuld anthonymacki hayleyatwel idriselba lindacardellini stellanskarsgård claudiakim thomaskretschmann andyserki juliedelpi stanle henrygoodman chrisluca brianschaeff dominiqueprovost-chalkley isaacandrew garethkieranjon chanwoolim minheeyeo bentleykalu julianbleach christopherbeasley vuyodabula nondumisotemb kabelothai leleleowaba mandlagaduka harrietmanamela beulahhash muscakumalo mathapeloseptemb antonyacheampong chiomaanyanwu bensakamoto imogenpoynton isabellapoynton ingvilddeila sunnyyeo namjugo minakweon earlt.kim arthurle verityhewlett michaelmatovski almanoc riccardorichetta constanzaruff montymclaren-clark juliakrynk tonychristensen iankay barryaird aaronhimelstein kerrycondon jaidenstafford dilyanabouklieva joshbrolin jotinagra nickw.nicholson danielwestwooddannyelfman christopherboy christopherboy sarahfinn briantyl stanle stanle kevinfeig richardrobert patriciawhitch josswhedon josswhedon alexandrabyrn jeffreyford bendavi jackkirbi jonfavreau charleswood ""louisdesposito"" alanfin victoriaalonso jeremylatcham mikestallion regpoerscout-edgerton lisalassek nicholassimon raychan mitchellbel bjmcdonnel davidacord dangrac thomasbrown jordancrockett markswain lorahirschberg philsim sheonamitchley franke.euln daniels.kaminski marshallwinn jaymaid matthewrobinson davidchrastka johngambl julianmorson samrenton clivejackson neilfingleton jeremybraben mikevalentin ""chrisoconnell"" marcchu nadavehrlich mannieferreira garysumm johnmahaffi markmoriarti stefanstankowski stephenenticott janewu briann.bentley anthonyrizzo leonardf.w.green katywood lucamarcoparacel richardrol domenicosica ""chrisflimsyhowes"" stefanodenardi benvok kis.hwang derekwalk jae-hyeokle jamiechristophera new age ha come.avengers: age of ultron"
767,Harry Potter and the Half-Blood Prince,"2009a harri begin hi sixth year at hogwart he discov an old book mark as ""property"" of the half-blood ""prince"" and begin to learn more about lord ""voldemorts"" dark past.adventur fantasi familywitch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolfdanielradcliff rupertgrint emmawatson tomfelton michaelgambon jimbroadb helenabonhamcart robbiecoltran maggiesmith alanrickman timothyspal davidthewli juliewalt matthewlewi evannalynch bonniewright oliverphelp jamesphelp markwilliam warwickdavi nataliatena katieleung davelegeno geraldinesomervil helenmccrori freddiestroma davidbradley frankdillan herofiennes-tiffin gemmajon afshanazad shefalichowdhuri georginaleonida devonmurray annashaff joshherdman jamiewaylett scarlettbyrn jessiecav louiscordic alfieenoch robertknox williammel paulritt isabellalaughland ralphineson suzannetoas rodhunt elaricagallacherbrunodelbonnel stephaniemcmillan stuartcraig j.k.rowl steveklov davidheyman andrewackland-snow garytomkin janytemim fionaweir alastairbullock davidy nicholashoop markday davidbarron timlewi lionelwigram mollyhugh tinoschaedl hattiestorey ""sloaneuren"" annaworley jaapbuitendijk katebaird hermionebyrt richarddavi stuartwilsondark secret revealedharri potter and the half-blood princ"
209112,Batman v Superman: Dawn of Justice,"2016fear the action of a god-lik super hero left uncheck gotham city’ own formid forc vigilant take on metropolis’ most rever modern-day savior while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one anoth a new threat quickli aris put mankind in greater danger than it’ ever known before.act adventur fantasydccom vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendeduniversebenaffleck henrycavil galgadot amyadam jesseeisenberg dianelan jeremyiron laurencefishburn hollyhunt scootmcnairi callanmulvey taookamoto jenamalon brandonspink laurencohan hughmaguir michaelcassidi aland.purwin danamboy rebeccabul harrylennix christinawren jadechynoweth chadkrowchuk kevincostn ezramil patrickwilson michaelshannon charlieros vikramgandhi andrewsullivan neildegrassetyson jonstewart ""soledadobrien"" erikar.erickson danabash nancygrac andersoncoop brookebaldwin carlagugino jasonmomoa joemorton rayfish josephcranford emilypeterson jeffreydeanmorgan sammirotibi hannadworkin tiffanyl.addison owaisahm anishjethmalani tiffanybedwel nataleearteaga keithd.gallagh jeffduma miriamle aliciaregan stephaniekoenig ripleysobo richardburden juliustennon wunmimosaku dennisnorth kiffvandenheuvel masonheidg ahneyh kristinecabanban sebastiansozzi kentshocknek ralphlist sammya.publ jayr.adam davidmidura jaytow michaelellison kirillostapenko rashontaewawrzyniak tomluginbil davepasch dannymooney henryfrostiii nicoleforest debbiestabenow milicagovich johnlepard sandralovealdridg grahamw.j.b henrifranklin jonathanwest t.j.martinelli chrisnewman luludahl samlogankhaleghi annemariedamman conniecraig henriettahermelin patrickleahi albertvalladar davidpari abigailkukli gregvioland tirenjham stevejasgur jonathanstanley jessenagi duvalemurchison thomasj.fentress coburngoss jeffhanlin garya.heck robinatkindown issacryanbrown bartonbund baileychas ""patrickoconnorcronin"" sonjacrosbi c.t.fletcher ahmangreen dianagaitirira jalenemack esodiegeig nenenwoko scottedwardlogan marcusgoddard cruzgonzalez-cadel almamartinez sallopez marcelshihadeh theobonganindyalvan satorishakoor elebardha inderkumar brandonbautista lauraatwood debbiescaletta davidleach gordonmichael brianboland taraslo jasonhughley sidihenderson meighangerachi nicolesantini axelharney waynee.brown dantebriggin shannongarnett lynchr.travi carmengangal joecipriano willblagrov marcelobemhanszimm charlesroven christophernolan emmathoma davids.goy davids.goy frankmil frankmil lorakennedi bobkan patricktatopoulo beatfrutig michaelwilkinson davidbrenn kevinishioka troysizemor michaeluslan benjaminmelnik brucemoriarti zacksnyd scottheck larryfong kristycarlson jerrysiegel joeshust victoriadown davidgrimaldi chuckmichael richardredlefsen junkiexl joednaboldin stefansonnenfeld jussitegelman kevinkaska wesleycol deborahsnyd gregorywilson jayoliva ""carolyncalloucks"" christerrio michaelkel billfing geoffjohn katebisco mikepiccirillo lorinflem gregorys.hoop patriciom.farrel bobmorgan joelthingval margitpfeiff rickowen chrisjenkin melissamuik joelwhist kimiwebb clayeno johnclothi martinnovemb ianseabrook danielsaxlid kevind.hewitt aurasperlingpierc julesholdren davidb.nowel brianhel shariratliff thomaswhit bryanhirota danielmacarin amberharley rogermeilink jenniferjobst davidwallaceallen jademansueto curtkanemoto kateabraham johnvoght geoffgeorg deborahjurvi lizpeco mariea.kohl kristinberg brianaveri anniejohnson ericpetey jessicar.lawson j.r.hawbak leizhang michaelfourni lidiamartinezprado tomcastronovo justinn.lang ricardosilva richardsprigg caitlinwel garyharp victoriawagn mayazzow ginan michaelwelch simeonduncomb gabrielvarga hannespos williamr.dalgleish jimgrc bobgomez andyleo warrenpaeff carloscastillon jasonfieldsjustic or revengebatman v superman: dawn of justic"
